",",Категория (такие же как во вкладке Категории),Платформа,HLTB часы,Кто добавил,Дополнительно (Если указан челлендж - при его прохождении человек получает Хорошее колесо),Кто прошел - Отзыв
sherlock holmes crimes & punishments,"Cozy, Паззл, Читать",PC,,Яковка,Челлендж - Решил все кейсы верно  + хороший ивент,
Armored Core VI: Fires of Rubicon,RPG,,,Яковка,,
Chrono Trigger,RPG,,,Яковка,,
Clair Obscur: Expidition 33,RPG,,,Яковка,"Челлендж: Французский текст, французская озвучка",
Code Vein,RPG,,,Яковка,,
Kingdom Come ,RPG,PC,,Яковка,,
Lies of P,RPG,PC,,Яковка,Челлендж - DLC,
Metaphor: ReFantazio,RPG,,,Яковка,,
Nier: Automata,RPG,,,Яковка,,
Oblivion Remastered,RPG,PC,,Яковка,,
Scarlet Nexus,RPG,,,Яковка,,
Shadowrun Hong Kong,RPG,PC,,Яковка,,
Shadowrun Returns,RPG,PC,,Яковка,,
Shdowrun DragonFall,RPG,PC,,Яковка,,
SMT 4,Джокерге,PC,,Яковка,,
Tainted Grail: The Fall of Avalon,RPG,PC,,Яковка,Челлендж - DLC,
Tales of Berseria,RPG,PC,,Яковка,,
Cyberpunk 2077,Стрелялка,PC,,Яковка и никунка,Челлендж - (Don`t Fear) The Reaper,
Sunless Sea,Адвенчура,PC,,Abaddon,,
Amnesia: The Bunker,Головоломки,PC,,Abaddon,,
Visage,Головоломки,PC,,Abaddon,,
Death's Gambit: Afterlife,Рогалик,PC,,Abaddon,,
GRIME,Рогалик,PC,,Abaddon,,
Halo: Reach,Стрелялка,PC,,Abaddon,,
Dark souls 2,Экшн,РС,,Abaddon,,
Necropolis,Экшн,PC,,Abaddon,,
Psychopomp GOLD,Экшн,PC,,Abaddon,,
Sekiro: Shadows Die Twice,Экшн,PC,,Abaddon,,
Shattered - Tale of the Forgotten king,Джокерге,PC,,Abaddon,,
Layers of Fear,Cozy,PC,,Abaddon,,
REANIMAL,Cozy,PC,,Abaddon,,
Fear and Hunger 2,RPG,PC,,Abaddon,,
Postal 2,Стрелялка,PC,,Drummer,Для победы- пройти игру ,
Stalker 2,Стрелялка,PC,62,Drummer,Для победы- пройти игру    Челлендж-хардкор или без быстрых перемещений и проводников(там где можно),
Stalker call,Стрелялка,PC,22,Drummer,Для победы- пройти игру    Челлендж-хардкор или без быстрых перемещений и проводников(там где можно),
Stalker shadow,Стрелялка,PC,22,Drummer,Для победы- пройти игру    Челлендж-хардкор или без быстрых перемещений и проводников(там где можно),
Dying light,Экшн,PC,,Drummer,Для победы- пройти игру    Челлендж-пройти ещё DLC,
Prototype,Экшн,PC,,Drummer,,
Prototype 2,Экшн,PC,,Drummer,,
Terraria,Cozy,PC,,Drummer,Для победы-убить мунлорда    Челледж- мастер мод или каламити (не ниже revengence),
Fallout 4,RPG,PC,,Drummer,Для победы- пройти игру    Челлендж-хардкор,
Fallout New Vegas,RPG,PC,,Drummer,Для победы- пройти игру    Челлендж-хардкор,
Skyrim,RPG,PC,,Drummer,"Для победы- пройти игру    Челлендж-пройти все фракции(братство, воры, барды, коллегия, соратники), все длс + пройти гражданку",
Свен - Овечная любовь,Джокерге,PC,,,Для победы -  отстрелить яйца винлу,
Need for Speed Undeground,Симулятор,PC,,Jacovka,,
Persona 3 Reload,Джокерге,PC,,Jacovka,,
A Plague Tale: Innocence,Адвенчура,PC,,Lokki,,
Assassin's Creed,Адвенчура,PC,,Lokki,,
Dead Space,Адвенчура,PC,,Lokki,,
penumbra ,Адвенчура,PC,,Lokki,,
штырлиц,Джокерге,PC,,Lokki,,
Arcanum: Of Steamworks and Magick Obscura,Джокерге,PC,,Lokki,,
Company of Heroes,Джокерге,PC,,Lokki,,
Darkwood,Адвенчура,PC,,Lokki,,
fallout,Джокерге,PC,,Lokki,,
fallout 2 ,RPG,PC,,Lokki,,
Final Fantasy X,Джокерге,PC,,Lokki,Изи режим. Яковка сказал что это лучшая часть так что добавил ее ,
Pathologic 2,Джокерге,PC,,Lokki,Для победы -Выжили все дети(основные) персы. Если выжили все нахуй то крути максимальный кубик ,
wings of vi,Джокерге,PC,,Lokki,,
Cruelty squad,Джокерге ,PC,,Lokki,Для победы: все уровни (включая секретные)   Челендж: на S ранг,
Devil May Cry 3 Special Edition,Джокерге ,PC,,Lokki,,
voices of the void,Джокерге ,PC,,Lokki,Для победы -  прожить 50 дней в игре (не в реальной жизни и да не в симс а ну в этой игре которая называется voices of the void что бы ну все поняли пояснение ):),
Magicka,Кооп,PC,,Lokki,Пройти не используя Удар молнии,
Петька и Василий Иванович 2: Судный день. Перезагрузка,Джокерге,PC,,Lokki,,
Петька и Василий Иванович 3: Возвращение Аляски. Перезагрузка,Джокерге,PC,,Lokki,,
Снусмумрик: Мелодия Муми-дола,Паззл,PC,,Lokki,,
Baba Is You,Паззл,PC,,Lokki,,
edna and harvey,Паззл,PC,,Lokki,,
Dice & Fold,Рогалик,PC,,Lokki,,
Vagante,Кооп,PC,,Lokki,Можно юзать вики но без страт на боссов. Челлендж лучшая концовка ,
white knuckle,Джокерге,PC,,Lokki,,
Patapon 2,Симулятор,,,Lokki,,
Space Warlord Organ Trading Simulator,Симулятор,PC,,Lokki,,
A Total War Saga: FALL OF THE SAMURAI,Стратежка,PC,,Lokki,,
Company of Heroes 2,Стратежка,PC,,Lokki,,
Company of Heroes 3,Стратежка,PC,,Lokki,,
Heroes of Might & Magic V,Стратежка,PC,,Lokki,,
Far Cry 1,Стрелялка,PC,,Lokki,,
Far Cry 3,Стрелялка,PC,,Lokki,,
tom clancy's ghost recon future soldier,Стрелялка,PC,,Lokki,,
Grim fandango,Читать,PC,,Lokki,,
Pathologic 3,Джокерге,PC,,Lokki,челлендж- пройти игру на хорошую концовку,
Chaos on Deponia,Читать(поинт эн клик),PC,,Lokki,,
Crysis,Экшен,PC,,Lokki,,
Crysis 2,Экшен,PC,,Lokki,,
Crysis 3,Экшен,PC,,Lokki,,
DARK SOULS,Экшен,PC ,,Lokki,Для победы- пройти игру    Челлендж-всех боссов,
DARK SOULS 3 ,Экшен,PC,,Lokki,Для победы- пройти игру    Челлендж-всех боссов,
Devil May Cry 4 Special Edition,Экшен,PC,,Lokki,,
Diablo 2,Экшен,PC,,Lokki,,
Diablo 3 (Если ссылки нет то рерол),Экшен,PC,,Lokki,,
F.E.A.R.,Экшен,PC,,Lokki,,
Might and magic dark messiah,Экшен,PC,,Lokki,,
Dusk,Экшн,PC,,Lokki,,
A Hat in Time,Cozy,PC,,Lokki,,
A Little to the Left,Cozy,PC,,Lokki,,
BABBDI,Cozy,PC,,Lokki,,
Crime Scene Cleaner,Cozy,PC,,Lokki,,
Do Not Feed the Monkeys,Cozy,PC,,Lokki,,
Hylics,Cozy,PC,,Lokki,,
Don't look outside,RPG,PC,,Lokki,Челендж - Final True Ending 20 часов,
fable ,RPG,PC,,Lokki,,
fable 2,RPG,PC,,Lokki,,
Felvidek,RPG,PC,,Lokki,,
Hylics 2,RPG,PC,,Lokki,,
LISA: The Painful,RPG,PC,,Lokki,Челлендж - Не использовать радость ,
planescape torment,RPG,PC,,Lokki,,
Yakuza: Like a Dragon,RPG,PC,,Lokki,,
XCOM EW,Джокерге,PC,,malakel,Челлендж - Лонгвар,
Peripeteia,Стрелялка,PC,,malakel,,
Готика 2 Ночь Ворона,RPG,PC,,malakel,,
Dragon Age Origins,RPG,PC,,malakel,Большие яйца большой хуй у тебя,
Firewatch,Адвенчура,PC,,nerp,,
while True: learn(),Джокерге,PC,,nerp,,
Dead Cells,Рогалик,PC,,nerp,,
Risk of Rain 2,Рогалик,PC,,nerp,,
Cloudpunk,Симуляторы,PC,,nerp,,
Frostpunk,Симуляторы,PC,,nerp,,
Satisfactory ,Симуляторы,PC,,nerp,Для победы - До третьего тира     Челлендж - пройти игру,
Katawa Shoujo,Читать,PC,,nerp,я тебе отрежу яйца без негатива ))))))))),
Deathloop,Экшн,PC,,nerp,,
Ghostrunner 2,Экшн,PC,,nerp,,
Superhot,Экшн,PC,,nerp,,
Jet Set Radio,Кози,PC,,Liftoma,,
Anonymous:Code,Духота,PC,,Liftoma,,
SMT3: Nocturne (или ремастер),Джокерге,PC,,Liftoma,Челлендж - тру демон эндинг (по гайду можно),
Total War: Warhammer III,Стратежка,PC,,Abaddon,,
"Warhammer 40,000: Dawn of War - Definitive Edition",Стратежка,PC,,Abaddon,Пройти кампании каждой части,
The suffering 2,Стрелялка,PC,,Abaddon,,
Halo 1,Стрелялка,PC,,Abaddon,,
Halo 2,Стрелялка,PC,,Abaddon,,
Halo 3,Стрелялка,PC,,Abaddon,,
Halo 4,Стрелялка,PC,,Abaddon,,
MADiSON,Cozy,PC,,Abaddon,,
Quake 2,Стрелялка,PC,,Abaddon,,
Stalker clear sky,Стрелялка,PC,,Abaddon,,
Dawn of War 2 Retribution,Стратежка,PC,,Abaddon,,
Labyrinthine,Cozy,PC,,Abaddon,,
From The Darkness,Cozy,PC,,Abaddon,,
